subject,start,end,organizer,required attendees,optional attendees
Prophetic Word Hearing — Thyatira,2025-08-13 08:30:00,2025-08-13 10:00:00,Seth,Mary;Eleazar;Abraham;Epaphroditus;Joshua;Sosthenes;Jeremiah;Philemon;Zedekiah,Ruth;Paul;Agabus;Dionysius;Parmenas
Covenant Renewal Ceremony — Nineveh,2025-08-13 09:20:00,2025-08-13 10:05:00,Matthias,Achaicus;Issachar;Enoch;Joseph_OT;Manasseh_King;Seth;Stephanas;Quartus;Rebekah,Moses;Jehoshaphat;Zenas
Deacon Selection — Susa,2025-08-15 09:20:00,2025-08-15 09:50:00,Joshua,Abraham;John_Baptist;Tabitha,Jezebel;Shem;Elisha
School of Prophets — Shechem,2025-08-15 10:45:00,2025-08-15 11:45:00,David,Rehoboam;Elisabeth,
Widow's Care Logistics — Capernaum,2025-08-16 08:00:00,2025-08-16 09:30:00,Nehemiah,Jehu;Timothy;Crispus;James_Zebedee;Junia,Phoebe;Miriam;Andrew;Phinehas
Census Review — Ephesus,2025-08-16 09:30:00,2025-08-16 11:00:00,Luke,Archippus;Joshua;Nicolas;Aaron;Lydia,
Royal Court Session — Caesarea,2025-08-16 19:00:00,2025-08-16 21:30:00,Shamgar,Damaris;John_Baptist;Rehoboam;Caleb;Mordecai;Joel;Hezekiah;Manaen;Gad;Shem,
Breaking of Bread — Alexandria,2025-08-17 10:20:00,2025-08-17 12:20:00,Micah,Aristarchus;Dan;Jethro;Hosea;Philip;Cleopas;Esther,Ahab;Timothy
Passover Preparation — Mount_Horeb,2025-08-18 09:00:00,2025-08-18 09:45:00,Achaicus,Mary;Miriam;Jehoshaphat;Simeon_Temple;Timon,Ezekiel;Onesimus;Silas;Isaiah
Missionary Strategy Session — Sinai,2025-08-18 10:45:00,2025-08-18 12:15:00,Manasseh,Saul;Quartus;Apollos;Jeroboam;Jeremiah;Jonathan;Ham;Dan;Crescens;Matthew;Chloe,Nymphas;Asher;Aristarchus;Zacharias;Bathsheba
Famine Relief Coordination — Nazareth,2025-08-18 16:30:00,2025-08-18 18:00:00,Timothy,Simeon;Joseph_NT;Isaac;Miriam;Daniel_Friend_Abednego;Sopater;Ehud;Eli;John;Omri;Huldah;Barnabas,Sosthenes;Crispus;Naomi;Joseph_OT
Priestly Rotation Review — Hierapolis,2025-08-19 13:30:00,2025-08-19 14:30:00,James_Alphaeus,Gideon;Noah;Achaicus;Nicanor;Zebulun;Boaz;Andrew;Joseph_Barsabas;Junia;Chloe;Dan;Aaron,Othniel;Zacharias
Sanhedrin Hearing — Babylon,2025-08-22 15:00:00,2025-08-22 16:30:00,Gad_Prophet,Chloe;Habakkuk;Linus;Zipporah;Crispus;Jonathan;Zedekiah;Jethro;Zacharias;Trophimus;Amos,Haggai;Dan;Nahum
Temple Service Planning — Tarsus,2025-08-23 07:15:00,2025-08-23 08:00:00,Daniel,Jonah;Philemon;Tabitha;Jehoshaphat;Rehoboam;Nathan;Peter;Stephen,Joseph_OT;Caius;Matthew;Fortunatus
Widow's Care Logistics — Mount_Carmel,2025-08-23 09:00:00,2025-08-23 09:45:00,Esther,Luke;Agabus,
Temple Service Planning — Mount_Carmel,2025-08-23 14:30:00,2025-08-23 16:30:00,Prochorus,Manaen;Jonah;Carpus;Dan;Dionysius,Benjamin
Covenant Renewal Ceremony — Antioch,2025-08-23 18:30:00,2025-08-23 20:30:00,Leah,Eleazar;Titus;Obadiah;Josiah;Linus;Luke;Daniel_Friend_Shadrach;Caleb,
Temple Service Planning — Philippi,2025-08-24 08:00:00,2025-08-24 08:30:00,Quartus,Asher;Priscilla;John_Baptist;Jehoshaphat;Onesiphorus;Junia;Aquila;Enoch,Matthias;Boaz;Paul
Passover Preparation — Philippi,2025-08-25 14:30:00,2025-08-25 15:00:00,Aholiab,Titus;Phinehas;Zephaniah;Stephanas;Habakkuk;Noah;Bezaleel;James_Alphaeus;Parmenas;Moses;Achaicus;John_Baptist,Jeremiah;Tychicus;Adam;Philip_Deacon
Land Inheritance Meeting — Hebron,2025-08-27 10:00:00,2025-08-27 11:00:00,Daniel_Friend_Abednego,James_Zebedee;Phoebe;Aquila;Ephraim;Tabitha;Shamgar,Judah;Amos;Dan
Council of Apostles — Jericho,2025-08-28 13:00:00,2025-08-28 14:00:00,Anna_Prophetess,Epaphroditus;Nicanor,Japheth;Samson;Saul;Reuben;Job
Elders Meeting — Philippi,2025-08-28 19:00:00,2025-08-28 20:00:00,Ahab,Manasseh;Aaron;Zerubbabel;Jason;Hosea;Rebekah;Joseph_Barsabas;Aholiab;Daniel_Friend_Shadrach;Jonah;Obadiah,Zephaniah;Apollos;Abraham
Prophetic Word Hearing — Rome,2025-08-28 19:00:00,2025-08-28 20:30:00,Rachel,Enoch;Eleazar;Ephraim;Zephaniah;Dionysius,
Elders Meeting — Rome,2025-08-29 15:45:00,2025-08-29 17:15:00,Luke,Joshua;Jethro;Noah;Samuel;Manasseh;Shem,
Council of Apostles — Bethlehem,2025-08-30 08:30:00,2025-08-30 10:00:00,Jethro,Abigail;Eleazar;Malachi;Hezekiah;Epaphras;Moses;Agabus;Stephen;Linus;Philemon,Jeroboam;Jezebel;Gad_Prophet;Daniel_Friend_Shadrach;Ezekiel
Census Review — Philippi,2025-08-30 09:20:00,2025-08-30 13:20:00,Epaphroditus,Benjamin;Hosea;Noah;Thomas;Rebekah;Solomon;Jeremiah;Erastus;Miriam,Joseph_OT;Cleopas
Breaking of Bread — Shechem,2025-08-30 14:15:00,2025-08-30 17:15:00,Secundus,Joseph_Barsabas;Solomon;Zebulun;Tychicus;Isaiah;Demetrius;Silas;Fortunatus;Levi;Jason;Manaen,John
Deacon Selection — Nazareth,2025-08-30 16:20:00,2025-08-30 17:20:00,Thaddaeus,Isaiah;Crispus;Elisha;Dan,
Land Inheritance Meeting — Sinai,2025-08-30 18:45:00,2025-08-30 19:30:00,Solomon,Jonathan;Mary;Zechariah;Benjamin;Habakkuk;Gad_Prophet;Epaphroditus;Prochorus,Jeroboam;Nicolas;Aaron
Tabernacle Service Coordination — Miletus,2025-08-30 19:30:00,2025-08-30 21:30:00,Mary,Jethro;Abraham;Jehu;Isaiah,Achaicus;Secundus
Church Planting Review — Bethsaida,2025-08-31 09:20:00,2025-08-31 11:50:00,Moses,Noah;Daniel;Manasseh;Othniel;Joseph_OT;Lucius;Sarah;Epaphroditus;Gideon;Nicolas;Shamgar;Enoch,John;James_Alphaeus;Nicanor;Carpus;Joel
Baptism Service Coordination — Bethel,2025-08-31 16:00:00,2025-08-31 18:30:00,Archippus,Bartholomew;Nicanor;Manasseh;Phinehas;Miriam;Huldah;Gad;David;Jeremiah;Jephthah,Samuel;Zenas;Joel
Watchman Report — Damascus,2025-09-01 07:45:00,2025-09-01 08:45:00,Gad,Crispus;Hosea,Jehoshaphat;Sosthenes;Barnabas;Deborah
Letter Dictation — Hebron,2025-09-01 18:30:00,2025-09-01 20:00:00,Quartus,Hezekiah;Mordecai;Jehoshaphat;Thomas;Micah,Moses;Nymphas
Letter Dictation — Hierapolis,2025-09-02 13:00:00,2025-09-02 15:30:00,Esau,Eleazar;Apphia;Joseph_NT;Samuel;Zerubbabel;Phoebe;Simon_Zealot;Tabitha;Adam,Junia;Judah;Mary
Covenant Renewal Ceremony — Hebron,2025-09-02 13:15:00,2025-09-02 13:45:00,Ruth,Daniel_Friend_Meshach;Crispus;Justus;Shem;Trophimus;Philip_Deacon;Leah;Job;Daniel_Friend_Shadrach;Eutychus,Jethro;Thomas;Matthew;Rufus
Watchman Report — Iconium,2025-09-02 16:20:00,2025-09-02 18:50:00,Elisha,Rufus;Shem;Jehu;Ehud;Linus;Rachel;Phinehas;Habakkuk;Simon_Zealot;Damaris,Eleazar;Daniel_Friend_Abednego;Gideon;Joseph_OT;Hosea
Widow's Care Logistics — Nineveh,2025-09-02 18:00:00,2025-09-02 19:30:00,Jonah,Zenas;Damaris;Manasseh_King;Phoebe;Miriam,
Tribal Council — Patmos,2025-09-02 18:20:00,2025-09-02 22:20:00,Demas,Priscilla;Matthew,Zephaniah;Gaius_Derbe;Caleb;Bathsheba;Esau
Royal Court Session — Philippi,2025-09-03 18:00:00,2025-09-03 18:45:00,Mark,Isaiah;Ehud;Deborah;Shem,Aquila;Zebulun;Samuel
Royal Court Session — Berea,2025-09-03 19:00:00,2025-09-03 21:30:00,Mary,Ruth;Leah;Zechariah;Enoch;Zebulun;Lydia,Thomas;Andrew;Luke;Onesiphorus
Battle Strategy Session — Capernaum,2025-09-04 14:00:00,2025-09-04 15:30:00,Peter,Zerubbabel;Noah;Jeremiah;Gad_Prophet;Huldah;Obadiah;Matthew,Erastus;Gad;Rehoboam
Tabernacle Service Coordination — Tiberias,2025-09-05 07:30:00,2025-09-05 09:30:00,Philip,Samson;Junia;Peter;Caius;Leah,Crispus;Micah;Sarah
Church Planting Review — Cana,2025-09-05 10:00:00,2025-09-05 11:00:00,Silas,Justus;Jason;Epaphras;Zipporah;Habakkuk;Bathsheba;Jacob,
Tabernacle Service Coordination — Derbe,2025-09-05 14:20:00,2025-09-05 17:20:00,Shamgar,Moses;Job;Ezekiel;Bartholomew;Onesiphorus;Micah;Justus,Simon_Zealot;Jehoshaphat;Jason
Synagogue Teaching Plan — Ramah,2025-09-06 09:45:00,2025-09-06 11:15:00,Habakkuk,Rufus;Nehemiah;Esther,Naphtali;Simeon
Judges Assembly — Philippi,2025-09-06 14:30:00,2025-09-06 18:30:00,Jethro,Phoebe;Daniel_Friend_Meshach;Simeon;Gaius_Derbe;Judah;Joshua;Cleopas;Amos;Issachar,Zipporah;Apollos;Zedekiah
Elders Meeting — Lystra,2025-09-06 18:00:00,2025-09-06 19:30:00,Paul,Timon;Thaddaeus;Manasseh_King;Linus;Naomi;Cornelius;Quartus;Agabus;Isaac,Bathsheba;Jeroboam;David;James_Alphaeus;Jezebel
Elders Meeting — Shechem,2025-09-07 16:20:00,2025-09-07 16:50:00,Justus,Parmenas;Joseph_Barsabas;Miriam;Matthias;Archippus;Sosthenes;Achaicus;Daniel;Matthew,Lucius;Daniel_Friend_Shadrach;Apphia
Watchman Report — Haran,2025-09-08 10:00:00,2025-09-08 11:00:00,Titus,Anna;Hezekiah;Priscilla;Judah;Joseph_OT,Phinehas;Daniel_Friend_Abednego;Mark;Obadiah;Abigail
Baptism Service Coordination — Damascus,2025-09-08 11:30:00,2025-09-08 13:30:00,Zerubbabel,Jacob;Joseph_OT;Joshua;Jonah;Quartus,Thomas
Trial Preparation — Athens,2025-09-08 11:30:00,2025-09-08 13:00:00,Philemon,Moses;Jephthah;Habakkuk;Anna;Samson;Esther;Hezekiah;Simeon,
Farewell Address — Alexandria,2025-09-08 14:20:00,2025-09-08 18:20:00,Daniel,Micah;Epaphroditus;Gad_Prophet;Hosea,Daniel_Friend_Abednego;Enoch;Sosthenes
Collection for the Saints — Dan,2025-09-09 08:15:00,2025-09-09 08:45:00,Paul,Seth;Ruth;Eli;Zechariah;Judah;Jason;Japheth;Jeroboam;Dionysius,Matthew;Naphtali
Famine Relief Coordination — Hierapolis,2025-09-09 08:45:00,2025-09-09 12:45:00,Moses,Titus;James_Alphaeus;Zechariah;Amos;Esther;Ephraim;Seth,
Passover Preparation — Rome,2025-09-09 09:30:00,2025-09-09 10:00:00,Noah,Caius;Huldah;Josiah;Andronicus;Sosthenes;Justus;Silas;Jacob,Lydia;James_Alphaeus;Gideon;Apphia;Zenas
Missionary Strategy Session — Troas,2025-09-09 16:15:00,2025-09-09 16:45:00,Sarah,Esau;Haggai;Chloe;Philip;Ahab;Silas;Prochorus;Mary;Timothy;Dan;Anna_Prophetess;Peter,Mark;Apphia
Watchman Report — Jezreel,2025-09-10 11:45:00,2025-09-10 12:30:00,Aquila,Job;Ahab;Simeon_Temple;Solomon;Eleazar;Ephraim;Barak,Asa;Hosea;Simon_Zealot;John
Famine Relief Coordination — Thessalonica,2025-09-10 13:45:00,2025-09-10 14:45:00,Aquila,Epaphroditus;Caius;Barnabas;Abigail;Dionysius;Issachar;Andronicus;Jacob;Ahab;Isaac,Jonathan;Aholiab
Council of Apostles — Hebron,2025-09-10 16:20:00,2025-09-10 20:20:00,Aholiab,Ephraim;Mark,Peter;Zacharias;Asher;Matthias
Discipleship Training — Ephesus,2025-09-11 13:45:00,2025-09-11 14:30:00,Sopater,Silas;Issachar;Esau;Deborah;Nahum;Job;Jephthah;Gad_Prophet;Chloe;Sosthenes,Quartus;Lydia
Famine Relief Coordination — Berea,2025-09-11 15:30:00,2025-09-11 17:00:00,Ezra,Nicanor;Zacharias;Ehud;Eleazar;Barnabas;Joshua;Prochorus;Nymphas;James_Alphaeus,Jethro;Zenas;Sopater;Aaron;Jeroboam
Battle Strategy Session — Troas,2025-09-12 10:20:00,2025-09-12 10:50:00,Trophimus,Leah;Lucius;Josiah;Abigail,Epaphras;Aaron
Collection for the Saints — Berea,2025-09-12 10:30:00,2025-09-12 11:15:00,Paul,Rehoboam;Philemon;Naphtali;Ahab;Mordecai;Adam;David;Shem;Tychicus;Thaddaeus;Jethro,Miriam;Reuben;Daniel_Friend_Meshach;Ruth;Aholiab
Widow's Care Logistics — Iconium,2025-09-14 10:00:00,2025-09-14 12:00:00,Hezekiah,Mordecai;Malachi;Crispus;Obadiah;Mary;Rachel;Lydia;Manaen;Gad;Nehemiah;Caius,Ezra;Dan;Prochorus;Amos
Church Planting Review — Malta,2025-09-14 14:00:00,2025-09-14 18:00:00,Joseph_Barsabas,Abraham;Nathan;Aquila;John;Anna;Rachel;Ephraim;Trophimus;Job;Chloe;Ezekiel,Gaius_Derbe
Apostolic Letter Review — Sinai,2025-09-15 10:15:00,2025-09-15 13:15:00,Peter,Saul;Hezekiah;Simeon_Temple;Gideon;Silas;Josiah,Nahum
Judges Assembly — Miletus,2025-09-16 09:15:00,2025-09-16 12:15:00,Epaphroditus,Philip;Dan;Tabitha;Parmenas;David;Eleazar;Zerubbabel;Crescens;Deborah;Hezekiah;Caius,Matthew;Carpus;Paul
Covenant Renewal Ceremony — Megiddo,2025-09-16 10:00:00,2025-09-16 11:30:00,Philemon,Jacob;Onesimus;Ahab;Huldah;Ephraim;Levi;Nicolas;James_Zebedee;Manasseh;Barnabas,Dan;Omri;Rehoboam;Gad_Prophet;Silas
Vision Interpretation Session — Philadelphia,2025-09-16 19:00:00,2025-09-16 20:30:00,Epaphroditus,James_Alphaeus;Jeroboam;Japheth;Adam;Aholiab;Uzziah;Joel;Cornelius;Tabitha,Timon;Caleb;Dionysius;Philemon
Temple Service Planning — Mizpah,2025-09-17 18:00:00,2025-09-17 19:00:00,Bartholomew,Thaddaeus;Jehu;Ehud;Apphia,
Famine Relief Coordination — Megiddo,2025-09-18 09:00:00,2025-09-18 11:00:00,Jeremiah,Esther;Ezekiel;Zephaniah;Joseph_OT;Abraham;Carpus;Jacob;Joshua;Nehemiah;Anna_Prophetess;Quartus,Japheth;Fortunatus;Daniel_Friend_Meshach;Zacharias;Ephraim
Letter Dictation — Smyrna,2025-09-18 10:00:00,2025-09-18 13:00:00,Mordecai,Josiah;Parmenas;Chloe;Asher;Haggai;Japheth;Jeremiah;Crispus,
Widow's Care Logistics — Gilgal,2025-09-18 19:00:00,2025-09-18 20:30:00,Ruth,Seth;Noah;Nicolas;Zerubbabel,Barnabas
Apostolic Letter Review — Pergamum,2025-09-19 18:00:00,2025-09-19 20:00:00,Eli,Philip;Damaris;Nahum;Nicolas,Philemon;Ezra;Paul;Mordecai
Letter Dictation — Hebron,2025-09-19 19:00:00,2025-09-19 22:00:00,Huldah,Joshua;Benjamin;Jehu,Linus;Ahab;Caius;Ezekiel
Sanhedrin Hearing — Haran,2025-09-19 19:00:00,2025-09-19 20:30:00,Zephaniah,Justus;Silas;Samuel;Reuben,Phinehas;Levi;Andrew
Letter Dictation — Miletus,2025-09-21 07:20:00,2025-09-21 07:50:00,Enoch,Jethro;Joseph_NT;Rebekah;Caius;Sosthenes;Jacob;Nathan;Manaen;Ham,Dan;Timon
Vision Interpretation Session — Berea,2025-09-21 11:00:00,2025-09-21 12:30:00,Damaris,Mary;Reuben;Jacob;Abraham;Othniel;Jehoshaphat;Asher;Andronicus;Ephraim;Timon;Achaicus,Barnabas;Huldah;Jehu;Uzziah
Missionary Strategy Session — Ramah,2025-09-21 15:20:00,2025-09-21 18:20:00,Joseph_NT,Japheth;Andrew;Enoch,
Sacrifice Order Briefing — Crete,2025-09-21 16:30:00,2025-09-21 17:30:00,Job,Ephraim;Elisha;Phoebe;Chloe;Zenas;Thomas;Apollos;Barak,Elijah;Archippus;Mordecai;Nathan;Joseph_NT
Council of Apostles — Joppa,2025-09-23 09:00:00,2025-09-23 10:00:00,Ephraim,Jonathan;David;Cornelius;Reuben;Gad_Prophet;Eli;Stephanas;Paul,Nicanor;Aquila
Discipleship Training — Bethlehem,2025-09-23 09:45:00,2025-09-23 10:30:00,Daniel,Luke;Asa;John_Baptist;Manasseh;Nahum;Miriam;Matthias;Joseph_Barsabas,Eleazar
Priestly Rotation Review — Jericho,2025-09-23 10:15:00,2025-09-23 12:45:00,Paul,Amos;Thaddaeus;Jonathan;Caius;Aholiab;Jacob;Joshua;Eli;Zacharias;Aristarchus;Nymphas,Elijah;Onesiphorus
Letter Dictation — Jericho,2025-09-23 13:30:00,2025-09-23 14:15:00,Justus,Abigail;Boaz;Eutychus;Obadiah,Seth;Deborah
Tabernacle Service Coordination — Hebron,2025-09-23 16:20:00,2025-09-23 17:50:00,Mark,Miriam;Peter;Thomas;Gaius_Derbe;Gad_Prophet;Ezekiel;Manasseh,Enoch;Joseph_Barsabas;Nymphas;Aholiab
School of Prophets — Shiloh,2025-09-24 09:30:00,2025-09-24 10:15:00,Jeremiah,Eutychus;Zerubbabel;Trophimus;Shamgar;James_Zebedee;Hezekiah;Linus;Rebekah,Zipporah
Tabernacle Service Coordination — Dan,2025-09-25 08:45:00,2025-09-25 09:45:00,Abigail,Barnabas;Asa,Junia;Esther;Andrew
Sanhedrin Hearing — Sinai,2025-09-25 09:45:00,2025-09-25 13:45:00,Damaris,Trophimus;Ahab;Eli;Aaron;Apollos;Asher;Titus;Mordecai,
Famine Relief Coordination — Capernaum,2025-09-25 13:00:00,2025-09-25 15:30:00,Paul,Timothy;Chloe;Prochorus;Jehoshaphat;Nymphas;Joseph_OT;Sosthenes;Shem;Simeon_Temple;Rufus;Micah,Quartus;Simeon;Isaiah;Justus;John
Baptism Service Coordination — Jericho,2025-09-27 07:00:00,2025-09-27 08:30:00,Jeremiah,Jason;Tychicus;Jonathan;Saul,Jehu;Parmenas;Matthew;Damaris;Joel
Scribal Workshop — Hebron,2025-09-28 10:00:00,2025-09-28 12:30:00,Malachi,Priscilla;Peter,Epaphroditus;Jehu;Bezaleel
Famine Relief Coordination — Hebron,2025-09-28 13:30:00,2025-09-28 15:30:00,Bezaleel,Daniel;Manasseh_King;Esau;Amos;Jason;Mary;Asa;Aquila;Gad;Demetrius,Timothy
Scribal Workshop — Damascus,2025-09-29 08:00:00,2025-09-29 12:00:00,Joseph_OT,Simeon_Temple;Uzziah,David;Nathan
Doctrinal Council — Gilgal,2025-09-29 13:00:00,2025-09-29 15:00:00,Noah,James_Alphaeus;Rachel;Naphtali;Joseph_OT;Elisha;Agabus;Manasseh;Malachi;Onesimus,Moses;Micah;Carpus;Mark
Farewell Address — Lystra,2025-10-01 09:00:00,2025-10-01 13:00:00,Othniel,Japheth;Caleb;Bartholomew;Tabitha;Lydia;Mordecai;Samuel;Hezekiah;Demas;Jeroboam;Amos,Abigail;Gaius_Derbe;Manasseh_King
Sacrifice Order Briefing — Dan,2025-10-01 14:30:00,2025-10-01 15:00:00,David,Elisabeth;Malachi;Demetrius;Anna;Issachar;Ehud;Eutychus;Uzziah;Barnabas,Benjamin;Zerubbabel;Philip;Lydia;Rufus
Royal Court Session — Sardis,2025-10-02 07:00:00,2025-10-02 08:00:00,Nathan,Philemon;Zenas;Jonathan;Paul;Stephen;Daniel;Stephanas;Issachar;Erastus;Timon,Daniel_Friend_Abednego;Apphia;Jeremiah;Joseph_NT;Naomi
Royal Court Session — Ephesus,2025-10-03 18:00:00,2025-10-03 21:00:00,Luke,Isaiah;Habakkuk;Stephen;Jeroboam;Gad;Uzziah;Hosea;Nymphas;Dan;Anna_Prophetess;Tychicus;Hezekiah,Philemon;Dionysius;Bathsheba
Scribal Workshop — Sinai,2025-10-05 09:30:00,2025-10-05 12:00:00,Nehemiah,David;Simeon;Lydia;Manasseh_King,Agabus;Nymphas;Andronicus;Saul
Breaking of Bread — Bethel,2025-10-05 10:00:00,2025-10-05 13:00:00,Daniel_Friend_Meshach,Ruth;Ephraim;Lydia;Dionysius;Esther;Prochorus,Dan;Agabus;Thomas;Eli;Eleazar
Widow's Care Logistics — Jezreel,2025-10-05 15:30:00,2025-10-05 16:30:00,Reuben,Apphia;Chloe;Abraham;Eutychus;Stephanas;Manaen;Bezaleel,Elijah;Timothy;Simon_Zealot;Archippus;Othniel
Elders Meeting — Samaria,2025-10-06 09:00:00,2025-10-06 10:00:00,Peter,Luke;Jonathan;Naomi;Samuel;Reuben;Isaiah;Simeon_Temple;Shamgar;Justus,Zephaniah;Silas;Chloe;Ephraim
Sacrifice Order Briefing — Berea,2025-10-07 11:30:00,2025-10-07 13:00:00,Daniel,Andronicus;Simon_Zealot,
Judges Assembly — Cana,2025-10-07 13:00:00,2025-10-07 15:30:00,Priscilla,Manasseh;Secundus;Achaicus;Prochorus;Junia;Aristarchus;Justus;Crescens,Erastus;Thaddaeus;Paul
Sacrifice Order Briefing — Ramah,2025-10-08 10:15:00,2025-10-08 11:15:00,Bathsheba,Abraham;Ehud;Haggai;Job;Jeremiah;Jeroboam;Jehu;Stephanas,Nicolas;Philemon;Joshua;Eutychus;Zipporah
Collection for the Saints — Shiloh,2025-10-08 10:45:00,2025-10-08 12:15:00,Joshua,Crispus;Nymphas;Caleb;Haggai;Mary;Nicolas;Ruth;Jethro;Manasseh;Ephraim,Ham;Phinehas;Barak
Land Inheritance Meeting — Haran,2025-10-08 19:30:00,2025-10-08 21:00:00,Apollos,Chloe;Enoch;Onesimus,Esther
Priestly Rotation Review — Bethel,2025-10-10 09:00:00,2025-10-10 12:00:00,Fortunatus,Titus;Asa;Aaron;Tychicus;Jeroboam;Philip_Deacon;Jehu;Nathan,
Trial Preparation — Ephesus,2025-10-10 10:00:00,2025-10-10 12:30:00,Shamgar,Andrew;Judah;Stephen;Amos;Bezaleel;Joshua,Archippus;Nahum;Uzziah
Prophetic Word Hearing — Berea,2025-10-11 09:30:00,2025-10-11 11:00:00,Lucius,Judah;Bartholomew;Archippus;Junia,
Passover Preparation — Hebron,2025-10-11 16:30:00,2025-10-11 18:00:00,Issachar,Jacob;Isaiah;Simeon_Temple;Miriam;Joshua;Thomas;Barak;Onesiphorus;Haggai,Phoebe;John_Baptist;Omri
Vision Interpretation Session — Gilgal,2025-10-12 15:20:00,2025-10-12 16:20:00,Jeremiah,Habakkuk;Phinehas;Quartus,Simeon_Temple
Sacrifice Order Briefing — Sinai,2025-10-13 08:15:00,2025-10-13 10:45:00,Barnabas,Levi;Ephraim;Shamgar;Elisha,Aaron;Nymphas
Vision Interpretation Session — Crete,2025-10-13 14:00:00,2025-10-13 14:45:00,John,David;Cleopas,Eleazar;Gaius_Derbe;Parmenas;Jethro;Asa
Collection for the Saints — Babylon,2025-10-13 14:30:00,2025-10-13 18:30:00,Demas,Thomas;Rebekah;Nicanor;Rehoboam,
Feast of Tabernacles Planning — Hebron,2025-10-14 08:00:00,2025-10-14 10:30:00,Japheth,Matthias;Job;Eli;Prochorus;Ephraim;Gad_Prophet;Bathsheba;Carpus;Sosthenes;Luke;Nahum;Micah,Nicanor
Missionary Strategy Session — Tiberias,2025-10-14 09:00:00,2025-10-14 12:00:00,Hezekiah,Rufus;David,Andronicus
Apostolic Letter Review — Sardis,2025-10-14 09:45:00,2025-10-14 11:45:00,Hosea,James_Alphaeus;Aaron,Jason;Boaz
Battle Strategy Session — Damascus,2025-10-14 10:00:00,2025-10-14 11:00:00,Stephen,Crescens;Samuel;Naphtali;Amos;James_Alphaeus;Phinehas;Thaddaeus;Simeon_Temple,Ham;Aaron;Barak;Ehud;Simon_Zealot
Famine Relief Coordination — Haran,2025-10-14 18:45:00,2025-10-14 19:30:00,Reuben,Erastus;Job;Amos;Naphtali;Joseph_OT;Jeremiah,Tabitha;Joseph_NT
Temple Service Planning — Troas,2025-10-15 09:00:00,2025-10-15 10:00:00,Timothy,Silas;Deborah;Erastus,Benjamin;Ephraim;Moses
Watchman Report — Shechem,2025-10-15 09:30:00,2025-10-15 12:00:00,Uzziah,Anna_Prophetess;Micah,Eutychus;Zerubbabel;Zipporah
Judges Assembly — Iconium,2025-10-16 13:30:00,2025-10-16 16:00:00,John_Baptist,Elijah;Joseph_Barsabas;Thomas;Elisabeth,Jezebel;Barak;Phoebe;Archippus;Isaac
Judges Assembly — Jerusalem,2025-10-16 19:20:00,2025-10-16 20:05:00,Mark,Trophimus;Abigail;Miriam;Zerubbabel;Eleazar,Isaac;Josiah
Vision Interpretation Session — Cana,2025-10-17 11:00:00,2025-10-17 12:00:00,Ehud,Sarah;Paul;Esther;Zedekiah;Chloe;Cornelius,Naomi
Council of Apostles — Alexandria,2025-10-17 13:30:00,2025-10-17 15:30:00,Epaphroditus,Enoch;Isaiah;Apollos;Timothy;Phinehas;Philemon;Mary,James_Alphaeus;Stephanas
Doctrinal Council — Susa,2025-10-18 08:00:00,2025-10-18 09:30:00,Haggai,Boaz;Isaac;Andronicus;Lucius;Bezaleel;Rufus;Rachel;Lydia,
Battle Strategy Session — Sardis,2025-10-18 14:00:00,2025-10-18 16:00:00,Phoebe,Japheth;Onesiphorus;Josiah;Levi;Elijah;Miriam;Sosthenes;Manasseh,Demetrius;Jason;Peter
Land Inheritance Meeting — Susa,2025-10-19 10:30:00,2025-10-19 13:30:00,Silas,Benjamin;Prochorus;Reuben;Eli;Leah;Tabitha;Eleazar;David;Joshua;Gad;Barak;Erastus,
Passover Preparation — Sinai,2025-10-19 16:15:00,2025-10-19 17:15:00,David,Dionysius;Leah;Uzziah;Jacob;Manasseh;Esau;Obadiah;Levi;Manasseh_King;Zechariah,
Prayer Vigil — Sinai,2025-10-20 09:20:00,2025-10-20 10:20:00,Priscilla,Tabitha;Othniel;Ham;Abraham;Crescens;Erastus;Jehu;Jezebel;Amos;Simeon_Temple,Sosthenes;Aaron
Sacrifice Order Briefing — Dan,2025-10-20 15:20:00,2025-10-20 15:50:00,Ezekiel,Cornelius;Linus;Zebulun;Manasseh;James_Alphaeus;Onesimus;Miriam;Ephraim;Eleazar;Jeremiah;Uzziah;Jephthah,
Census Review — Beersheba,2025-10-20 18:30:00,2025-10-20 21:00:00,Nehemiah,Erastus;Onesiphorus;Naphtali;Eleazar;Abigail;Amos;Paul;Apollos,Huldah
Prayer Vigil — Troas,2025-10-21 08:30:00,2025-10-21 10:00:00,Apphia,Manaen;Miriam;Philip,
Covenant Renewal Ceremony — Cyprus,2025-10-22 08:00:00,2025-10-22 10:30:00,Esther,Chloe;Zephaniah;Aholiab;Amos;Aquila;Asher;Levi;Andronicus,Epaphras;Luke;Prochorus;Bathsheba
Temple Service Planning — Malta,2025-10-22 14:45:00,2025-10-22 15:15:00,Nehemiah,Lucius;Jethro;Adam;Mary;Jonathan;Phoebe;Obadiah;Micah;Rufus;Dan;Manasseh;Othniel,Elijah;Trophimus;Eutychus
Prayer Vigil — Tarsus,2025-10-23 15:45:00,2025-10-23 18:45:00,Bezaleel,Mark;Job;Sopater;Ruth,John_Baptist;Aquila;Elisha
Passover Preparation — Alexandria,2025-10-24 16:00:00,2025-10-24 17:30:00,Rehoboam,Rebekah;Jethro;Naomi;Simeon_Temple;Zechariah,Sarah;Deborah
